iter	Passed	Remaining
642	3415879	1896530
643	3421426	1891347
644	3426962	1886157
645	3432314	1880865
646	3437190	1875314
647	3442876	1870204
648	3449420	1865557
649	3455054	1860414
650	3460993	1855432
651	3466355	1850140
652	3472862	1845457
653	3478824	1840478
654	3484741	1835474
655	3490502	1830385
656	3495496	1824894
657	3501027	1819683
658	3504849	1813586
659	3510466	1808422
660	3514269	1802325
661	3520553	1797503
662	3526281	1792393
663	3530916	1786728
664	3536393	1781491
665	3541417	1776026
666	3547565	1771123
667	3554548	1766631
668	3560377	1761561
669	3565573	1756177
670	3571627	1751215
671	3576988	1745911
672	3583174	1741007
673	3589893	1736357
674	3596784	1731785
675	3601822	1726317
676	3606864	1720852
677	3612468	1715655
678	3617604	1710237
679	3623358	1705109
680	3629649	1700232
681	3635581	1695183
682	3641814	1690271
683	3647138	1684935
684	3653763	1680197
685	3659937	1675248
686	3666787	1670603
687	3673262	1665781
688	3679142	1660686
689	3684746	1655466
690	3691166	1650608
691	3696528	1645275
692	3701897	1639946
693	3707406	1634677
694	3713987	1629879
695	3719023	1624401
696	3725907	1619727
697	3732870	1615081
698	3738240	1609743
699	3745187	1605080
700	3749829	1599428
701	3754883	1593953
702	3759858	1588446
703	3765168	1583082
704	3770605	1577771
705	3775787	1572353
706	3781696	1567237
707	3787196	1561951
708	3792898	1556746
709	3798398	1551458
710	3803853	1546151
711	3808356	1540458
712	3814862	1535575
713	3821341	1530677
714	3827432	1525620
715	3832147	1520013
716	3836043	1514087
717	3840812	1508508
718	3845614	1502945
719	3850783	1497527
720	3855667	1491999
721	3861024	1486654
722	3866078	1481194
723	3870846	1475626
724	3875633	1470067
725	3880199	1464428
726	3886286	1459362
727	3891937	1454130
728	3896939	1448656
729	3903515	1443765
730	3908128	1438148
731	3914357	1433125
732	3919989	1427881
733	3924480	1422223
734	3929807	1416869
735	3934268	1411204
736	3938682	1405527
737	3943570	1400020
738	3948065	1394377
739	3953037	1388904
740	3957930	1383406
741	3962564	1377818
742	3967508	1372341
743	3971720	1366613
744	3976791	1361183
745	3980913	1355431
746	3986150	1350061
747	3991786	1344826
748	3996664	1339336
749	4000961	1333653
750	4006435	1328365
751	4012228	1323181
752	4017342	1317773
753	4023223	1312616
754	4029316	1307526
755	4034358	1302094
756	4039589	1296724
757	4046094	1291760
758	4051716	1286513
759	4057491	1281313
760	4062818	1275970
761	4068425	1270715
762	4073219	1265206
763	4079324	1260105
764	4084417	1254690
765	4089415	1249246
766	4094299	1243770
767	4098701	1238149
768	4104029	1232809
769	4109309	1227456
770	4114736	1222146
771	4121331	1217180
772	4126697	1211850
773	4131593	1206382
774	4137400	1201180
775	4143052	1195932
776	4147812	1190427
777	4153060	1185063
778	4158902	1179868
779	4163821	1174411
780	4167847	1168704
781	4172282	1163117
782	4178263	1157960
783	4183463	1152586
784	4188846	1147263
785	4193850	1141837
786	4199431	1136567
787	4206120	1131595
788	4212588	1126560
789	4220176	1121819
790	4225985	1116600
791	4232715	1111622
792	4236501	1105871
793	4241441	1100424
794	4246618	1095039
795	4252201	1089760
796	4258001	1084534
797	4263564	1079248
